Business Name,Type,Priority Tier,Priority Score,AI Readiness Score,Data Completeness %,Multi-Location,Location Count,Area,Tech Park,Building,HQ Location,Business Category,Description,Website,Phone,Email,LinkedIn,Has Direct Contact,Employee Count,Revenue Range,Google Rating,Primary Persona,Decision Maker Persona,Persona Title,Persona Pain Points,Persona Goals,AI Value Proposition,AI Pitch Script,AI Pitch Opportunity,AI Use Case,AI Maturity,Tech Stack,Decision Making Process,Budget Authority,Engagement Strategy,Contact Priority,Last Enriched,Competitors,Recent News,_research_query,_enriched_website,_enriched_linkedin,_enriched_emails,_enriched_phones,_research_sources,_search_engine_used,_research_error,_research_timestamp,_page_description,_page_facebook,_page_twitter,_page_instagram,_page_youtube,_page_github,_page_contact_url,_page_about_url,_page_careers_url,_page_blog_url,_page_tech_stack,_page_founded_year,_page_employee_count,_page_headquarters,_firmographic_query,_firmographic_sources,_firmographic_errors,legal_name,registration_number,jurisdiction,incorporation_date,company_status,company_type,official_website,industry,sic_code,employee_count,headquarters,officers
ABB Global,Enterprise / Tech Company,Tier 2 - Warm,75,65,89,No,1,HITEC City,Cyber Pearl,Block 1,"Zurich, Switzerland",Industrial Automation,"Swedish-Swiss multinational corporation in robotics, automation, power",https://www.abb.com,+91 40 1234 5678,,https://linkedin.com/company/abb,Yes,"105,000+",$30B+,4.2,CTO - Industrial AI,CTO - Industrial AI,,,,,,"AI robotics, predictive maintenance, energy optimization",Very High - AI in industry,,,,,,,,"Siemens, Rockwell, Schneider",Industrial AI center in Hyderabad,,https://www.abb.com,https://linkedin.com/company/abb,,,,,,2026-06-30T11:03:10.091513,,,,,,,,,,,,,,,ABB Global,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=ABB+Global&per_page=5,,,,,,,,,,,,
ADP India,Enterprise / Tech Company,Tier 2 - Warm,75,65,89,No,1,HITEC City,Laxmi Cyber City,Main,"Roseland, USA",HR Tech / Payroll,Global provider of human capital management solutions,https://www.adp.com,+91 40 1234 5678,,https://linkedin.com/company/adp,Yes,"60,000+",$17B+,4.1,VP - AI HR Tech,VP - AI HR Tech,,,,,,"AI payroll, talent analytics, HR automation",High - AI in HR,,,,,,,,"Workday, SAP, Oracle",AI-powered HR analytics platform,,https://www.adp.com,https://linkedin.com/company/adp,,,,,,2026-06-30T11:03:22.488962,"ADP offers industry-leading online payroll and HR solutions, plus tax, compliance, benefit administration and more.",https://www.facebook.com/AutomaticDataProcessing,https://twitter.com/adp,,https://www.youtube.com/user/adp,,https://www.adp.com/contact-us/customer-service.aspx,https://www.adp.com/about-adp.aspx,https://jobs.adp.com/?rb=ADP_COM,https://www.adp.com/spark.aspx,,,49,,ADP India,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=ADP+India&per_page=5,,,,,,,,,,,,
AMD,Enterprise / Tech Company,Tier 2 - Warm,75,65,89,No,1,HITEC City,Mindspace Madhapur,Building 11,"Santa Clara, USA",Semiconductor,Designs and integrates technology that powers millions of devices,https://www.amd.com,+91 40 1234 5678,,https://linkedin.com/company/amd,Yes,"25,000+",$23B+,4.3,VP Engineering - AI Acceleration,VP Engineering - AI Acceleration,,,,,,"AI chip design, GPU for ML, data center AI",Very High - AI hardware focus,,,,,,,,"NVIDIA, Intel, Qualcomm",Hyderabad team works on AI chip architecture,,https://www.amd.com,https://linkedin.com/company/amd,,,,,,2026-06-30T11:03:23.248541,,,,,,,,,,,,,,,AMD,SEC_EDGAR; Wikidata,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=AMD&per_page=5,Ahmedabad,0000906345,India,,,,https://ahmedabadcity.gov.in/,,,,,
Accenture,Enterprise / Tech Company,Tier 1 - Hot,100,100,100,No,1,HITEC City,Mindspace Madhapur,Building 1A,"Dublin, Ireland",IT Consulting & Services,"Global professional services company providing strategy, consulting, digital, technology, and operations services",https://www.accenture.com,+91 40 6692 0000,hdc.mailroom@accenture.com,https://linkedin.com/company/accenture,Yes,"775,000+",$64B+,4.0,CTO - Cloud & AI Transformation,CTO - Cloud & AI Transformation,Chief Technology Officer,"Scaling AI across global teams, legacy modernization, talent shortage","Drive digital transformation, reduce costs, accelerate innovation","AI copilots for 775K employees, generative AI for client delivery, automated code generation","'Accenture is investing $3B in AI. We can help you deploy AI copilots across your 100K+ workforce, reducing project delivery time by 40% and cutting costs by 25%.'","AI-powered automation, generative AI for client delivery",High - AI at core of strategy,Advanced - AI at core,"Azure, AWS, GCP, Salesforce, SAP","C-suite driven, 6-12 month cycles, ROI-focused",High - $100M+ AI budgets,"Executive briefings, POCs, case studies, industry events",Hot - Immediate AI need,2025-01-15,"Deloitte, TCS, Infosys",Launched AI Center of Excellence in Hyderabad,,https://www.accenture.com,https://linkedin.com/company/accenture,hdc.mailroom@accenture.com,+91 40 6692 0000,,,,2026-06-30T11:03:29.339745,"Accenture embraces the power of change to create 360° value and shared success for our clients, people, shareholders, partners and communities. Learn more.",https://www.facebook.com/AccentureIndia,,https://www.instagram.com/accentureindiacareers,https://www.youtube.com/channel/UCi7os4F3cWKPOWCOtmv562A,,https://www.accenture.com/in-en/about/contact-us,https://www.accenture.com/in-en/about/company-index,https://www.accenture.com/in-en/careers,https://newsroom.accenture.com,,,,,Accenture,SEC_EDGAR; Wikidata,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=Accenture&per_page=5,Accenture,0001467373,Ireland,,,,https://www.accenture.com/,information technology,,779000,Dublin,
AdvanSoft India,Enterprise / Tech Company,Tier 2 - Warm,65,65,78,No,1,HITEC City,Cyber Towers,Q4,"Hyderabad, India",Software,Software development and services,,+91 40 1234 5678,,,Yes,,,4.0,Director - AI Products,Director - AI Products,,,,,,"AI software development, product engineering",Medium - AI products,,,,,,,,"Infosys, TCS, Wipro",AI product development,"""AdvanSoft India"" HITEC City",,,,,https://namu.wiki/w/%EC%9C%A0%ED%8A%9C%EB%B8%8C; https://www.naver.com/; https://forum.vivaldi.net/topic/113545/whatsapp.com-web-use-another-browser-browser-unsupported-for-whatsapp-web; https://forum.vivaldi.net/topic/112404/whatsapp-web-logging-out-constantly; https://answers.microsoft.com/zh-hans/windows/forum/windows_10-windows_install-winpc/如何恢复上/428e587e-2e87-4745-83be-2f62303c4a5d,"DDGSearchProvider,SearXNGProvider",,2026-06-30T11:03:38.199160,,,,,,,,,,,,,,,AdvanSoft India,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=AdvanSoft+India&per_page=5,,,,,,,,,,,,
AheadRace Software,Enterprise / Tech Company,Tier 2 - Warm,65,65,78,No,1,Gachibowli,Kapil Towers,Main,"Hyderabad, India",Software,Software development services,,+91 40 1234 5678,,,Yes,,,4.0,Director - AI Engineering,Director - AI Engineering,,,,,,"AI software development, product engineering",Medium - AI engineering,,,,,,,,"TCS, Infosys, Wipro",AI software delivery,"""AheadRace Software"" Gachibowli",,,,,https://alphasquare.co.kr/home/stock-summary?code=000660; https://kr.investing.com/equities/sk-hynix-inc; https://sk.moneyjoopjoop.com/; https://kr.investing.com/equities/sk-hynix-inc-chart; https://hlkr.co.kr/stocks/skhx,"DDGSearchProvider,SearXNGProvider",,2026-06-30T11:03:50.759009,,,,,,,,,,,,,,,AheadRace Software,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=AheadRace+Software&per_page=5,,,,,,,,,,,,
Amazon,Enterprise / Tech Company,Tier 1 - Hot,100,100,89,No,1,HITEC City,Mindspace Madhapur,Building 4,"Seattle, USA",E-commerce / Cloud,World's largest e-commerce and cloud computing company (AWS),https://www.amazon.com,+91 40 1234 5678,,https://linkedin.com/company/amazon,Yes,1.5M+,$500B+,4.1,Principal Engineer - AI/ML,Principal Engineer - AI/ML,Principal Engineer - AI/ML,"Scaling AI infrastructure, real-time recommendation latency, personalization at scale","Increase conversion by 20%, reduce AWS AI costs by 30%, enable new AI services","AI-powered recommendation engines, real-time personalization, AWS AI service optimization","'Amazon processes 1M+ transactions per second. Our AI can reduce recommendation latency by 50% and increase conversion rates by 15%, adding $5B+ in revenue.'","Alexa AI, recommendation engines, AWS AI services",Very High - AI everywhere,Very Advanced - AI everywhere,"AWS, TensorFlow, MXNet, custom chips","Engineering + Product, data-driven, A/B testing culture",Very High - $10B+ AI budget,"Technical papers, benchmark data, internal demos",Warm - Internal AI teams,2025-01-15,"Microsoft, Google, Flipkart",Expanding Hyderabad development center,,https://www.amazon.com,https://linkedin.com/company/amazon,,,,,,2026-06-30T11:04:02.928721,"Free shipping on millions of items. Get the best of Shopping and Entertainment with Prime. Enjoy low prices and great deals on the largest selection of everyday essentials and other products, including fashion, home, beauty, electronics, Alexa Devices, sporting goods, toys, automotive, pets, baby, books, video games, musical instruments, office supplies, and more.",,,,,,,https://blog.aboutamazon.com/?utm_source=gateway&utm_medium=footer,https://www.amazon.jobs,https://blog.aboutamazon.com/?utm_source=gateway&utm_medium=footer,,,,,Amazon,SEC_EDGAR; Wikidata,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=Amazon&per_page=5,Amazon,0001018724,Brazil,,,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001018724,,,,,
Aspire Systems,Enterprise / Tech Company,Tier 2 - Warm,75,65,89,No,1,Gachibowli,Divyasree Orion,Block B5,"Chennai, India",IT Services,Technology outsourcing and product engineering,https://www.aspiresys.com,+91 40 1234 5678,,https://linkedin.com/company/aspire-systems,Yes,,,4.0,CTO - AI Engineering,CTO - AI Engineering,,,,,,"AI engineering, product development, cloud AI",Medium - AI engineering,,,,,,,,"TCS, Infosys, Wipro",AI product engineering,,https://www.aspiresys.com,https://linkedin.com/company/aspire-systems,,,,,,2026-06-30T11:04:09.135268,"Aspire Systems provides comprehensive IT services, IT consulting expertise, and technology solutions to help businesses achieve their digital transformation goals.",https://www.facebook.com/AspireSystems,https://twitter.com/aspiresystems,https://www.instagram.com/aspire_systems,https://www.youtube.com/c/Aspiresys,,https://www.aspiresys.com/contact-us?en,https://www.aspiresys.com/en/about-us,https://www.aspiresys.com/pl-careers,https://www.aspiresys.com/newsroom,Drupal,,,,Aspire Systems,Wikidata,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=Aspire+Systems&per_page=5,Aspire Systems,,,,,,http://www.aspiresys.com/,,,,Chennai,
BA Continuum,Enterprise / Tech Company,Tier 2 - Warm,75,65,89,No,1,HITEC City,Mindspace Madhapur,Building 9,"Charlotte, USA",BFSI / IT Services,Bank of America subsidiary providing IT and business process outsourcing services,https://www.bankofamerica.com,+91 40 1234 5678,,https://linkedin.com/company/bank-of-america,Yes,,,4.0,SVP Technology - Digital Banking,SVP Technology - Digital Banking,,,,,,"AI fraud detection, customer analytics, robo-advisory",High - BFSI AI adoption,,,,,,,,"JPMorgan, Wells Fargo, HSBC",Implementing AI for loan processing,,https://www.bankofamerica.com,https://linkedin.com/company/bank-of-america,,,,,,2026-06-30T11:04:21.530273,"What would you like the power to do? At Bank of America, our purpose is to help make financial lives better through the power of every connection.",,,,,,https://www.bankofamerica.com/customer-service/contact-us,https://www.bankofamerica.com/online-banking/iphone-banking-app.go,,,Angular; Salesforce,,,Email Address *,BA Continuum,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=BA+Continuum&per_page=5,,,,,,,,,,,,
BA Continuum India,Enterprise / Tech Company,Tier 2 - Warm,75,65,89,No,1,HITEC City,Mindspace Madhapur,Building 5,"Hyderabad, India",BFSI / IT,IT and operations subsidiary of Bank of America,https://www.bankofamerica.com,+91 40 1234 5678,,https://linkedin.com/company/bank-of-america,Yes,,,4.0,SVP - AI Operations,SVP - AI Operations,,,,,,"Process automation, AI compliance, predictive analytics",High - AI in operations,,,,,,,,"Wells Fargo, JPMorgan",Expanding AI team in Hyderabad,,https://www.bankofamerica.com,https://linkedin.com/company/bank-of-america,,,,,,2026-06-30T11:04:28.481527,"What would you like the power to do? At Bank of America, our purpose is to help make financial lives better through the power of every connection.",,,,,,https://www.bankofamerica.com/customer-service/contact-us,https://www.bankofamerica.com/online-banking/iphone-banking-app.go,,,Angular; Salesforce,,,Email Address *,BA Continuum India,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=BA+Continuum+India&per_page=5,,,,,,,,,,,,
