Business Name,Type,Priority Tier,Priority Score,AI Readiness Score,Data Completeness %,Multi-Location,Location Count,Area,Tech Park,Building,HQ Location,Business Category,Description,Website,Phone,Email,LinkedIn,Has Direct Contact,Employee Count,Revenue Range,Google Rating,Primary Persona,Decision Maker Persona,Persona Title,Persona Pain Points,Persona Goals,AI Value Proposition,AI Pitch Script,AI Pitch Opportunity,AI Use Case,AI Maturity,Tech Stack,Decision Making Process,Budget Authority,Engagement Strategy,Contact Priority,Last Enriched,Competitors,Recent News
ABB Global,Enterprise / Tech Company,Tier 2 - Warm,75,65,89,No,1,HITEC City,Cyber Pearl,Block 1,"Zurich, Switzerland",Industrial Automation,"Swedish-Swiss multinational corporation in robotics, automation, power",https://www.abb.com,+91 40 1234 5678,,https://linkedin.com/company/abb,Yes,"105,000+",$30B+,4.2,CTO - Industrial AI,CTO - Industrial AI,,,,,,"AI robotics, predictive maintenance, energy optimization",Very High - AI in industry,,,,,,,,"Siemens, Rockwell, Schneider",Industrial AI center in Hyderabad
ADP India,Enterprise / Tech Company,Tier 2 - Warm,75,65,89,No,1,HITEC City,Laxmi Cyber City,Main,"Roseland, USA",HR Tech / Payroll,Global provider of human capital management solutions,https://www.adp.com,+91 40 1234 5678,,https://linkedin.com/company/adp,Yes,"60,000+",$17B+,4.1,VP - AI HR Tech,VP - AI HR Tech,,,,,,"AI payroll, talent analytics, HR automation",High - AI in HR,,,,,,,,"Workday, SAP, Oracle",AI-powered HR analytics platform
AMD,Enterprise / Tech Company,Tier 2 - Warm,75,65,89,No,1,HITEC City,Mindspace Madhapur,Building 11,"Santa Clara, USA",Semiconductor,Designs and integrates technology that powers millions of devices,https://www.amd.com,+91 40 1234 5678,,https://linkedin.com/company/amd,Yes,"25,000+",$23B+,4.3,VP Engineering - AI Acceleration,VP Engineering - AI Acceleration,,,,,,"AI chip design, GPU for ML, data center AI",Very High - AI hardware focus,,,,,,,,"NVIDIA, Intel, Qualcomm",Hyderabad team works on AI chip architecture
Accenture,Enterprise / Tech Company,Tier 1 - Hot,100,100,100,No,1,HITEC City,Mindspace Madhapur,Building 1A,"Dublin, Ireland",IT Consulting & Services,"Global professional services company providing strategy, consulting, digital, technology, and operations services",https://www.accenture.com,+91 40 6692 0000,hdc.mailroom@accenture.com,https://linkedin.com/company/accenture,Yes,"775,000+",$64B+,4.0,CTO - Cloud & AI Transformation,CTO - Cloud & AI Transformation,Chief Technology Officer,"Scaling AI across global teams, legacy modernization, talent shortage","Drive digital transformation, reduce costs, accelerate innovation","AI copilots for 775K employees, generative AI for client delivery, automated code generation","'Accenture is investing $3B in AI. We can help you deploy AI copilots across your 100K+ workforce, reducing project delivery time by 40% and cutting costs by 25%.'","AI-powered automation, generative AI for client delivery",High - AI at core of strategy,Advanced - AI at core,"Azure, AWS, GCP, Salesforce, SAP","C-suite driven, 6-12 month cycles, ROI-focused",High - $100M+ AI budgets,"Executive briefings, POCs, case studies, industry events",Hot - Immediate AI need,2025-01-15,"Deloitte, TCS, Infosys",Launched AI Center of Excellence in Hyderabad
AdvanSoft India,Enterprise / Tech Company,Tier 2 - Warm,65,65,78,No,1,HITEC City,Cyber Towers,Q4,"Hyderabad, India",Software,Software development and services,,+91 40 1234 5678,,,Yes,,,4.0,Director - AI Products,Director - AI Products,,,,,,"AI software development, product engineering",Medium - AI products,,,,,,,,"Infosys, TCS, Wipro",AI product development
AheadRace Software,Enterprise / Tech Company,Tier 2 - Warm,65,65,78,No,1,Gachibowli,Kapil Towers,Main,"Hyderabad, India",Software,Software development services,,+91 40 1234 5678,,,Yes,,,4.0,Director - AI Engineering,Director - AI Engineering,,,,,,"AI software development, product engineering",Medium - AI engineering,,,,,,,,"TCS, Infosys, Wipro",AI software delivery
Amazon,Enterprise / Tech Company,Tier 1 - Hot,100,100,89,No,1,HITEC City,Mindspace Madhapur,Building 4,"Seattle, USA",E-commerce / Cloud,World's largest e-commerce and cloud computing company (AWS),https://www.amazon.com,+91 40 1234 5678,,https://linkedin.com/company/amazon,Yes,1.5M+,$500B+,4.1,Principal Engineer - AI/ML,Principal Engineer - AI/ML,Principal Engineer - AI/ML,"Scaling AI infrastructure, real-time recommendation latency, personalization at scale","Increase conversion by 20%, reduce AWS AI costs by 30%, enable new AI services","AI-powered recommendation engines, real-time personalization, AWS AI service optimization","'Amazon processes 1M+ transactions per second. Our AI can reduce recommendation latency by 50% and increase conversion rates by 15%, adding $5B+ in revenue.'","Alexa AI, recommendation engines, AWS AI services",Very High - AI everywhere,Very Advanced - AI everywhere,"AWS, TensorFlow, MXNet, custom chips","Engineering + Product, data-driven, A/B testing culture",Very High - $10B+ AI budget,"Technical papers, benchmark data, internal demos",Warm - Internal AI teams,2025-01-15,"Microsoft, Google, Flipkart",Expanding Hyderabad development center
Aspire Systems,Enterprise / Tech Company,Tier 2 - Warm,75,65,89,No,1,Gachibowli,Divyasree Orion,Block B5,"Chennai, India",IT Services,Technology outsourcing and product engineering,https://www.aspiresys.com,+91 40 1234 5678,,https://linkedin.com/company/aspire-systems,Yes,,,4.0,CTO - AI Engineering,CTO - AI Engineering,,,,,,"AI engineering, product development, cloud AI",Medium - AI engineering,,,,,,,,"TCS, Infosys, Wipro",AI product engineering
BA Continuum,Enterprise / Tech Company,Tier 2 - Warm,75,65,89,No,1,HITEC City,Mindspace Madhapur,Building 9,"Charlotte, USA",BFSI / IT Services,Bank of America subsidiary providing IT and business process outsourcing services,https://www.bankofamerica.com,+91 40 1234 5678,,https://linkedin.com/company/bank-of-america,Yes,,,4.0,SVP Technology - Digital Banking,SVP Technology - Digital Banking,,,,,,"AI fraud detection, customer analytics, robo-advisory",High - BFSI AI adoption,,,,,,,,"JPMorgan, Wells Fargo, HSBC",Implementing AI for loan processing
BA Continuum India,Enterprise / Tech Company,Tier 2 - Warm,75,65,89,No,1,HITEC City,Mindspace Madhapur,Building 5,"Hyderabad, India",BFSI / IT,IT and operations subsidiary of Bank of America,https://www.bankofamerica.com,+91 40 1234 5678,,https://linkedin.com/company/bank-of-america,Yes,,,4.0,SVP - AI Operations,SVP - AI Operations,,,,,,"Process automation, AI compliance, predictive analytics",High - AI in operations,,,,,,,,"Wells Fargo, JPMorgan",Expanding AI team in Hyderabad
